primordia,leaf,angle,genotype,plant,population
,L1L2,168.3,e2,E21,1
P7P8,L1L2,168.368,e2,e28c,2
P4P5,L1L2,168.71,e2,e28p,2
,L1L2,168.71,e2,E31,1
,L1L2,168.71,e2,E97,1
,L1L2,168.76,e2,E107,1
,L1L2,168.78,e2,E24,1
,L3L4,168.99,e2,E31,1
,L1L2,169.02,3130,W82,1
,L2L3,169.22,3130,W3,1
,L1L2,169.38,e2,E72,1
,L1L2,169.62,3130,W85,1
,L3L4,169.62,e2,E89,1
,L1L2,169.68,e2,E2,1
P2P3,L5L6,169.839,e2,e28e,2
,L1L2,169.97,e2,E48,1
P4P5,L1L2,170.001,e2,e29g,2
P2P3,L2L3,170.04,e2,e29d,2
P5P6,L3L4,170.15,e2,e28c,2
,L3L4,170.18,e2,E104,1
,L2L3,170.24,3130,W76,1
,L1L2,170.4,3130,W66,1
,L4L5,170.58,e2,E76,1
,L1L2,170.66,3130,W89,1
,L3L4,170.67,e2,E43,1
,L4L5,170.86,e2,E73,1
,L1L2,170.97,3130,W34,1
P3P4,L3L4,171.117,e2,e28i,2
,L1L2,171.16,3130,W8,1
,L1L2,171.17,3130,W55,1
,L1L2,171.17,e2,E57,1
,L1L2,171.3,e2,E35,1
,L3L4,171.41,e2,E14,1
P3P4,L1L2,171.664,e2,e29d,2
,L3L4,171.77,e2,E99,1
,L3L4,172.06,e2,E73,1
P4P5,L3L4,172.094,e2,e28e,2
,L1L2,172.12,3130,W25,1
,L2L3,172.19,e2,E22,1
,L4L5,172.55,3130,W101,1
,L1L2,172.56,3130,W17,1
,L1L2,172.58,e2,E49,1
,L1L2,172.59,e2,E76,1
,L1L2,172.75,e2,E47,1
,L1L2,172.76,3130,W71,1
,L3L4,172.84,e2,E57,1
,L3L4,173.09,e2,E21,1
,L1L2,173.33,3130,W97,1
P1P2,L5L6,173.395,e2,e28i,2
,L3L4,173.4,e2,E56,1
P6P7,L1L2,173.421,e2,e27g,2
,L1L2,173.5,e2,E40,1
,L1L2,173.54,e2,E86,1
,L1L2,173.59,3130,W81,1
,L1L2,173.59,e2,E83,1
,L3L4,173.63,e2,E79,1
,L1L2,173.68,e2,E101,1
,L1L2,173.98,e2,E53,1
