Label,Area,Perim.,Circ.,AR,Round,Solidity
L1_EH7.bmp,12.913,28.413,0.201,1.413,0.707,0.921
L1_EH8.bmp,16.314,39.698,0.13,1.334,0.75,0.867
L1_EH8.bmp,16.314,39.698,0.13,1.334,0.75,0.867
L1_EH9.bmp,3.40E-04,0.052,1,1,1,1
L1_EH9.bmp,12.219,32.559,0.145,1.447,0.691,0.909
L1_EI10.bmp,13.594,31.233,0.175,1.516,0.66,0.885
L1_EI10.bmp,12.855,36.586,0.121,1.544,0.648,0.864
L1_EI11.bmp,16.868,33.675,0.187,1.353,0.739,0.886
L1_EI11.bmp,16.868,33.675,0.187,1.353,0.739,0.886
L1_EI12.bmp,16.979,40.459,0.13,1.401,0.714,0.882
L1_EI12.bmp,16.979,40.459,0.13,1.401,0.714,0.882
L1_EI13.bmp,11.987,34.138,0.129,1.387,0.721,0.858
L1_EI13.bmp,11.987,34.138,0.129,1.387,0.721,0.858
L1_EI14.bmp,16.118,38.585,0.136,1.428,0.7,0.894
L1_EI14.bmp,16.118,38.585,0.136,1.428,0.7,0.894
L1_EI15.bmp,10.061,21.561,0.272,1.286,0.778,0.934
L1_EI15.bmp,10.061,21.561,0.272,1.286,0.778,0.934
L1_EI16.bmp,13.456,33.003,0.155,1.278,0.783,0.888
L1_EI16.bmp,13.456,33.003,0.155,1.278,0.783,0.888
L1_EI17.bmp,12.62,31.49,0.16,1.55,0.645,0.837
L1_EI17.bmp,11.877,32.969,0.137,1.567,0.638,0.844
L1_EI18.bmp,16.188,39.243,0.132,1.331,0.752,0.865
L1_EI18.bmp,16.188,39.243,0.132,1.331,0.752,0.865
L1_EI2.bmp,3.40E-04,0.052,1,1,1,1
L1_EI2.bmp,9.579,30.745,0.127,1.558,0.642,0.888
L1_EI3.bmp,16.679,35.501,0.166,1.245,0.803,0.865
L1_EI3.bmp,0.003,0.347,0.319,9,0.111,1
L1_EI4.bmp,19.202,42.727,0.132,1.204,0.831,0.907
L1_EI4.bmp,19.202,42.716,0.132,1.204,0.831,0.907
L1_EI5.bmp,0.008,0.9,0.126,24,0.042,1
L1_EI5.bmp,0.008,0.9,0.126,24,0.042,1
L1_EI6.bmp,12.748,36.339,0.121,1.175,0.851,0.866
L1_EI6.bmp,13.361,28.354,0.209,1.171,0.854,0.889
L1_EI7.bmp,4.908,21.348,0.135,1.541,0.649,0.854
L1_EI7.bmp,4.908,21.348,0.135,1.541,0.649,0.854
L1_EI8.bmp,0.003,0.347,0.319,9,0.111,1
L1_EI8.bmp,16.109,33.467,0.181,1.241,0.806,0.935
L1_EI9.bmp,16.296,32.401,0.195,1.304,0.767,0.901
