DATA_NAME	PC1	PC2	PC3	PC4	PC5	PC6
L1_EG1_1	-1.575992e-02	-9.802534e-03	-1.066013e-02	-2.579973e-02	4.595654e-02	3.218962e-02
L1_EG11_1	2.084308e-02	-3.788254e-02	-1.979132e-03	-3.894199e-03	2.203222e-02	7.390451e-03
L1_EG12_1	1.937169e-02	-4.403431e-02	2.886283e-02	-5.963628e-02	2.972231e-02	8.241522e-03
L1_EG14_1	7.611917e-02	-5.610000e-02	-4.878884e-02	-1.573232e-02	8.183929e-03	3.893836e-02
L1_EG15_1	-2.097637e-02	-5.203608e-02	5.733625e-03	-5.860423e-02	4.454272e-02	5.693688e-02
L1_EG16_1	-4.099083e-03	-9.494001e-02	-2.685366e-02	-6.332459e-02	3.784875e-02	1.401337e-02
L1_EG17_1	-8.622333e-03	-1.503325e-02	6.465519e-04	-8.037162e-03	3.288310e-02	1.573536e-02
L1_EG18_1	-7.183964e-03	-3.225061e-02	2.863143e-02	-2.677473e-02	5.262231e-02	-8.609697e-03
L1_EG2_1	-1.327253e-02	-3.579495e-02	-8.074772e-04	-1.840802e-02	6.010433e-02	2.795963e-02
L1_EG3_1	-4.031903e-03	-6.902217e-03	1.221055e-02	1.520677e-02	-4.587236e-03	1.085236e-02
L1_EG4_1	2.350803e-02	-1.089542e-01	3.360235e-02	-5.760563e-02	1.099684e-02	2.329480e-03
L1_EG5_1	-9.931326e-04	1.819975e-02	4.606868e-02	-7.956274e-03	-8.583095e-03	2.115995e-02
L1_EG7_1	4.075552e-02	-3.579781e-02	1.372955e-02	-2.023182e-02	1.557928e-02	2.855242e-02
L1_EG8_1	-2.192746e-02	-6.531132e-03	-3.518518e-02	-5.673375e-03	2.635424e-02	1.168076e-02
L1_EG9_1	-2.238537e-02	-1.836093e-03	-1.047684e-02	-2.516781e-02	4.957631e-02	3.502713e-02
L1_EH1_1	-5.639042e-03	-3.879975e-02	4.234095e-03	-3.095936e-02	2.735386e-02	1.287726e-02
